0.214,1323,1177
0.2143,1322,1178
0.2146,1337,1163
0.2149,1325,1175
0.2152,1352,1148
0.2155,1326,1174
0.2158,1356,1144
0.2161,1352,1148
0.2164,1319,1181
0.2167,1342,1158
0.217,1356,1144
0.2173,1307,1193
0.2176,1334,1166
0.2179,1370,1130
0.2182,1292,1208
0.2185,1306,1194
0.2188,1254,1246
0.2191,1308,1192
0.2194,1287,1213
0.2197,1286,1214
0.22,1319,1181
0.2203,1251,1249
0.2206,1291,1209
0.2209,1274,1226
0.2212,1279,1221
0.2215,1253,1247
0.2218,1235,1265
0.2221,1282,1218
0.2224,1263,1237
0.2227,1250,1250
0.223,1248,1252
0.2233,1273,1227
0.2236,1316,1184
0.2239,1294,1206
0.2242,1251,1249
0.2245,1277,1223
0.2248,1252,1248
0.2251,1220,1280
0.2254,1258,1242
0.2257,1259,1241
0.226,1260,1240
0.2263,1277,1223
0.2266,1266,1234
0.2269,1245,1255
0.2272,1277,1223
0.2275,1215,1285
0.2278,1247,1253
0.2281,1199,1301
0.2284,1199,1301
0.2287,1242,1258
0.229,1240,1260
0.2293,1281,1219
0.2296,1218,1282
0.2299,1262,1238
